type,ip_address,timestamp,data,access_profile
login,2605:b100:701:8880:3947:6c8a:af7f:2070,2021-01-29 23:44:59,"{""access_profile"":""rhcrypto""}",@rhcrypto
login,68.147.2.10,2021-07-02 02:07:39,"{""access_profile"":""rhcrypto""}",@rhcrypto
logout,68.147.2.10,2021-07-02 02:11:11,"{""access_profile"":""rhcrypto""}",@rhcrypto
password_reset_start,2605:b100:712:5be6:c009:ba3d:159b:102a,2021-11-17 23:29:39,,@rhcrypto
password_reset_done,68.147.2.10,2021-11-17 23:30:25,,@rhcrypto
login,2605:b100:712:5be6:c009:ba3d:159b:102a,2021-11-17 23:30:50,"{""access_profile"":""rhcrypto""}",@rhcrypto
color_theme_change,2605:b100:712:5be6:c009:ba3d:159b:102a,2021-11-17 23:30:57,"[[""theme"",""light"",""auto""]]",@rhcrypto
account_settings_update,2605:b100:712:5be6:c009:ba3d:159b:102a,2021-11-17 23:33:03,"[[""timezone"",0,100]]",@rhcrypto
enabled_coins_updated,2605:b100:712:5be6:c009:ba3d:159b:102a,2021-11-17 23:33:15,"[[""enable_zec"",true,false]]",@rhcrypto
worker_delete,2605:b100:70b:e221:b110:7f26:219b:516e,2021-11-18 01:11:44,"{""name"":""rhcrypto.worker1""}",@rhcrypto
workers_delete,2605:b100:73b:de1e:708b:f5d4:78ac:a117,2021-11-18 18:45:21,"{""count"":3,""coin"":""BTC""}",@rhcrypto
bad_login,2605:b100:736:7a0f:3158:e7dd:5052:b7b9,2022-03-21 17:35:42,,@rhcrypto
bad_login,2605:b100:736:7a0f:3158:e7dd:5052:b7b9,2022-03-21 17:35:55,,@rhcrypto
password_reset_start,2605:b100:736:7a0f:3158:e7dd:5052:b7b9,2022-03-21 17:36:42,,@rhcrypto
password_reset_done,68.147.2.10,2022-03-21 17:38:50,,@rhcrypto
login,2605:b100:736:7a0f:3158:e7dd:5052:b7b9,2022-03-21 17:40:00,"{""access_profile"":""rhcrypto""}",@rhcrypto
bad_login,2605:b100:736:7a0f:3158:e7dd:5052:b7b9,2022-03-21 20:05:28,,@rhcrypto
login,2605:b100:736:7a0f:3158:e7dd:5052:b7b9,2022-03-21 20:05:42,"{""access_profile"":""rhcrypto""}",@rhcrypto
bad_login,170.203.221.91,2022-04-28 18:59:49,,@rhcrypto
bad_login,170.203.221.91,2022-04-28 19:00:08,,@rhcrypto
bad_login,170.203.221.91,2022-04-28 19:00:30,,@rhcrypto
login,170.203.221.91,2022-04-28 19:00:50,"{""access_profile"":""rhcrypto""}",@rhcrypto
bad_login,170.203.221.91,2022-04-29 03:16:43,,@rhcrypto
bad_login,170.203.221.91,2022-04-29 03:17:11,,@rhcrypto
login,170.203.221.91,2022-04-29 03:17:32,"{""access_profile"":""rhcrypto""}",@rhcrypto
bad_login,50.65.136.175,2022-04-29 04:55:34,,@rhcrypto
bad_login,50.65.136.175,2022-04-29 04:55:48,,@rhcrypto
login,50.65.136.175,2022-04-29 04:56:02,"{""access_profile"":""rhcrypto""}",@rhcrypto
login,50.65.136.175,2022-04-29 05:42:44,"{""access_profile"":""rhcrypto""}",@rhcrypto
bad_login,50.65.136.175,2022-04-29 09:44:30,,@rhcrypto
