height,found_at,value,pool_scoring_hashrate_ghps,user_scoring_hashrate_ghps,user_reward
710212,2021-11-18 02:02:34,6.38247307,8158927474.873198,3410.1225017186757,0.00000262
710213,2021-11-18 02:08:54,6.30467024,8144323569.297514,3288.865823145149,0.00000250
710215,2021-11-18 02:17:47,6.31916745,8126808373.870758,3159.602065695092,0.00000241
710345,2021-11-18 23:40:03,6.29111434,8762380673.199482,1830.447461566197,0.00000129
710351,2021-11-19 00:57:09,6.28530971,8758797525.173838,2024.3697033421874,0.00000142
710382,2021-11-19 05:46:16,6.25768588,8785124974.53276,6.327093094224625,0.00000001
710485,2021-11-20 01:12:08,6.46418037,8881965479.47575,1258.208426969774,0.00000090
710540,2021-11-20 09:29:16,6.27869590,8884126356.771925,1063.9415508904626,0.00000074
710555,2021-11-20 10:49:43,6.28117826,8859023014.329819,3534.1616791258366,0.00000246
710629,2021-11-21 00:27:32,6.29632635,8864758943.104311,5390.838080366455,0.00000375
710632,2021-11-21 01:11:25,6.31861304,8862510752.246222,1433.3422440804875,0.00000100
710892,2021-11-22 22:36:42,6.26521517,8396617222.193054,1331.0228452167316,0.00000097
710939,2021-11-23 07:18:23,6.32720428,8394965534.552298,534.4392254587185,0.00000039
710967,2021-11-23 10:57:12,6.25241102,8410001717.227963,278.5218063588431,0.00000021
711452,2021-11-27 00:15:09,6.37571146,9003444559.332005,682.8167262186253,0.00000047
711459,2021-11-27 00:58:52,6.26909982,9011610204.435751,197.35411266823763,0.00000014
712027,2021-12-01 03:47:06,6.36137865,9199966951.348423,736.2071474137666,0.00000050
712977,2021-12-07 03:13:47,6.36156798,9596362401.014431,566.7153676688664,0.00000037
712983,2021-12-07 04:05:26,6.25390798,9609902417.558544,744.6096445404817,0.00000048
713024,2021-12-07 11:38:57,6.30069074,9617388066.560423,6.5728389932609055,0.00000001
728402,2022-03-21 20:43:41,6.29291617,12478452907.164045,1019.2354007417093,0.00000051
728435,2022-03-22 01:00:42,6.27988168,12339525550.372082,12.432621297950128,0.00000001
728452,2022-03-22 03:39:34,6.25641570,12453641106.781286,9.01861870267796,0.00000001
728636,2022-03-23 11:02:08,6.39518360,12440287929.959614,19.43414061548025,0.00000001
728755,2022-03-24 04:42:21,6.27571257,12495826779.263494,1016.8971914652695,0.00000050
728762,2022-03-24 06:17:20,6.28633831,12406678733.882376,1639.9506664778141,0.00000081
728781,2022-03-24 08:49:40,6.32096632,12492697708.110804,933.3872963509983,0.00000046
728782,2022-03-24 08:50:48,6.27278302,12481483310.267864,881.9660442439515,0.00000043
728795,2022-03-24 10:41:39,6.34791509,12493800873.86571,22.158019878953255,0.00000001
733995,2022-04-28 20:30:41,6.38816583,13025586295.43514,65651.71414684491,0.00003156
734002,2022-04-28 21:37:20,6.36388308,12930499626.751608,1059205.9744647327,0.00051087
734018,2022-04-29 00:26:59,6.32154972,12901265129.70037,1328668.4331509338,0.00063802
734074,2022-04-29 08:43:21,6.34029246,13230532662.432318,1491025.8542269145,0.00070024
734100,2022-04-29 12:08:59,6.38425001,13280368570.856613,1476998.5873849613,0.00069584
734106,2022-04-29 13:16:44,6.36058953,12874811563.905294,1454836.454109334,0.00070437
734168,2022-04-30 00:19:02,6.33770675,13286650829.455332,1384288.733670759,0.00064709
734172,2022-04-30 01:01:08,6.36642578,13035228965.392862,1410809.2222797943,0.00067526
734185,2022-04-30 03:00:27,6.35378932,13153755304.966757,1508419.0477747815,0.00071406
